Principio Attivo;Descrizione Gruppo Equivalenza;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno ;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 20MG 1ML 1 UNITA' USO PARENTERALE;DOCETAXEL*1 flacone EV 20 mg 1 ml 20 mg/ml;84,37;51,12;-;AUROBINDO PHARMA ITALIA Srl;040113019;ALM;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 80MG 4ML 1 UNITA' USO PARENTERALE;DOCETAXEL*1 flacone EV 80 mg 4 ml 20 mg/ml;315,01;190,87;-;AUROBINDO PHARMA ITALIA Srl;040113021;ALR;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 160MG 8ML 1 UNITA' USO PARENTERALE;DOCETAXEL*20 mg/ml EV 1 flaconcino 8 ml;585,90;355,55;-;AUROBINDO PHARMA ITALIA Srl;040113045;ALK;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 20MG 2ML 5 UNITA' USO PARENTERALE;DOCETAXEL*5 flaconcini 20 mg 2 ml;421,82;255,59;-;SANDOZ SpA;039713021;ALO;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 80MG 8ML 5 UNITA' USO PARENTERALE;DOCETAXEL*5 flaconcini EV 80 mg 8 ml 10 mg/ml;1.575,06;954,35;-;SANDOZ SpA;039713058;ALT;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 80MG 4ML 1 UNITA' USO PARENTERALE;TAXOTERE*1 flaconcino EV 80 mg 4 ml;787,52;477,17;-;SANOFI MATURE IP;032391043;ALR;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 160MG 8ML 1 UNITA' USO PARENTERALE;TAXOTERE*1 flacone EV 160 mg 8 ml;1.496,29;906,62;-;SANOFI MATURE IP;032391056;ALK;;;;;;;;;;;;;;;;;
Docetaxel;DOCETAXEL 20MG 1ML 1 UNITA' USO PARENTERALE;TAXOTERE*1 flacone EV 20 mg 1 ml;210,90;127,78;-;SANOFI MATURE IP;032391031;ALM;;;;;;;;;;;;;;;;;
Dolutegravir;DOLUTEGRAVIR 10MG 30 UNITA' USO ORALE;TIVICAY*30 cpr riv 10 mg flacone;180,16;109,16;-;VIIV HEALTHCARE BV;043195039;KOZ;;;;;;;;;;;;;;;;;
Dolutegravir;DOLUTEGRAVIR 25MG 30 UNITA' USO ORALE;TIVICAY*30 cpr riv 25 mg flacone;450,41;272,91;-;VIIV HEALTHCARE BV;043195054;KPB;;;;;;;;;;;;;;;;;
Dolutegravir;DOLUTEGRAVIR 50MG 30 UNITA' USO ORALE;TIVICAY*30 cpr riv 50 mg flacone;900,79;545,80;-;VIIV HEALTHCARE BV;043195015;IZD;;;;;;;;;;;;;;;;;
Dolutegravir/Abacavir/Lamivudina;DOLUTEGRAVIR+ABACAVIR+LAMIVUDINA 50+600+300MG 30 UNITA' USO ORALE;TRIUMEQ*30 cpr riv 50 mg + 600 mg + 300 mg flacone;1.185,28;718,00;-;VIIV HEALTHCARE BV;043618014;CXB;;;;;;;;;;;;;;;;;
Dolutegravir/Lamivudina;DOLUTEGRAVIR+LAMIVUDINA 50+300MG 30 UNITA' USO ORALE;DOVATO*30 cpr riv 50 mg + 300 mg;1.050,68;636,62;-;VIIV HEALTHCARE BV;048058010;LBI;;;;;;;;;;;;;;;;;
Dolutegravir/rilpivirina;DOLUTEGRAVIR+RILPIVIRINA 50+25MG 30 UNITA' USO ORALE;JULUCA*30 cpr riv 50 mg + 25 mg flacone;1.308,11;792,60;-;VIIV HEALTHCARE BV;046638019;KWV;;;;;;;;;;;;;;;;;
Dopamina;DOPAMINA 200MG 5ML 10 UNITA' USO PARENTERALE;DOPAMINA CLORIDRATO*10 fiale EV 200 mg 5 ml;10,67;6,46;-;HIKMA FARMACEUTICA S.A.;044098010;ALU;;;;;;;;;;;;;;;;;
Dopamina;DOPAMINA 200MG 5ML 10 UNITA' USO PARENTERALE;DOPAMINA*10 fiale EV 200 mg 5 ml;10,67;6,46;-;PFIZER ITALIA Srl;035442019;ALU;;;;;;;;;;;;;;;;;
Doravirina;DORAVIRINA 100MG 30 UNITA' USO ORALE;PIFELTRO*30 cpr riv 100 mg flacone;804,33;487,35;-;MERCK SHARP & DOHME BV;047421019;KTG;;;;;;;;;;;;;;;;;
Doravirina/lamivudina/tenofovir disoproxil;DORAVIRINA+LAMIVUDINA+TENOFOVIR DISPROXIL 100+300+245MG 30 UNITA' USO ORALE;DELSTRIGO*30 cpr riv 100 mg + 300 mg + 245 mg;1.302,06;788,93;-;MERCK SHARP & DOHME Ltd;047426010;KTH;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 fiala EV 10 mg 5 ml;28,99;13,18;-;PFIZER ITALIA Srl;022393058;ALW;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flaconcino EV 50 mg 25 ml;119,51;54,32;-;PFIZER ITALIA Srl;022393060;AMF;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 50MG 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flaconcino polv EV 50 mg;99,48;45,22;-;PFIZER ITALIA Srl;022393045;AMD;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flacone EV 10 mg + 1 fiala solv 5 ml;19,55;8,89;-;PFIZER ITALIA Srl;022393033;ALW;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flacone EV 200 mg 100 ml;424,07;192,76;-;PFIZER ITALIA Srl;022393084;ALY;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA LIPOSOMIALE 20MG 1 UNITA' USO PARENTERALE;CAELYX PEGYLATED LIPOSOMAL*1 flaconcino EV 20 mg 10 ml 2 mg/ml;520,82;315,57;-;JANSSEN CILAG INTERNAT.N.V.;033308014;ALZ;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA LIPOSOMIALE 50MG 1 UNITA' USO PARENTERALE;CAELYX PEGYLATED LIPOSOMAL*1 flaconcino EV 50 mg 25 ml 2 mg/ml;1.302,04;788,92;-;JANSSEN CILAG INTERNAT.N.V.;033308038;KCQ;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 10 mg 5 ml 2 mg/ml;14,90;9,03;-;TEVA ITALIA Srl;039646017;ALW;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 10 mg 5 ml 2 mg/ml;14,90;9,03;-;ACCORD HEALTHCARE SLU;040581011;ALW;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 100MG 50ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 100 mg 50 ml 2 mg/ml;111,27;67,42;-;ACCORD HEALTHCARE SLU;040581050;ALV;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 100 ml 2 mg/ml;222,68;134,93;-;AUROBINDO PHARMA ITALIA Srl;040693083;ALY;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 200 mg 100 ml 2 mg/ml;222,68;134,93;-;ACCORD HEALTHCARE SLU;040581035;ALY;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 25 ml 2 mg/ml;62,56;37,91;-;AUROBINDO PHARMA ITALIA Srl;040693057;AMF;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 25 ml 2 mg/ml;62,56;37,91;-;HIKMA FARMACEUTICA S.A.;042970020;AMF;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 5 ml 2 mg/ml;14,90;9,03;-;AUROBINDO PHARMA ITALIA Srl;040693018;ALW;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 5 ml 2 mg/ml;14,90;9,03;-;HIKMA FARMACEUTICA S.A.;042970018;ALW;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 50 mg 25 ml 2 mg/ml;62,56;37,91;-;TEVA ITALIA Srl;039646031;AMF;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 50 mg 25 ml 2 mg/ml;62,56;37,91;-;ACCORD HEALTHCARE SLU;040581023;AMF;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA 100MG 50ML 1 UNITA' USO PARENTERALE;DOXORUBICINA*1 flaconcino EV 50 ml 2 mg/ml;111,27;67,42;-;AUROBINDO PHARMA ITALIA Srl;040693069;ALV;;;;;;;;;;;;;;;;;
Doxorubicina;DOXORUBICINA LIPOSOMIALE 50MG 2 UNITA' USO PARENTERALE;MYOCET LIPOSOMAL*2 set infus polv 50 mg;1.573,90;953,66;-;TEVA B.V.;035189012;AME;;;;;;;;;;;;;;;;;
Dupilumab;DUPILUMAB 200MG 1,14 ML 2 UNITA' USO PARENTERALE;DUPIXENT*2 siringhe preriempite 200 mg 1,14 ml;2.112,51;1.280,00;-;SANOFI-AVENTIS GROUPE;045676107;LFM;;;;;;;;;;;;;;;;;
Dupilumab;DUPILUMAB 300MG 2 ML 2 UNITA' USO PARENTERALE;DUPIXENT*2 siringhe preriempite 300 mg 2 ml;2.112,51;1.280,00;-;SANOFI-AVENTIS GROUPE;045676069;KNM;;;;;;;;;;;;;;;;;
Durvalumab;DURVALUMAB 50MG/ML 10ML SOLUZIONE USO PARENTERALE;IMFINZI*1 flaconcino EV 10 ml 50 mg/ml;4.343,17;2.631,59;-;ASTRAZENECA AB;047089014;KQZ;;;;;;;;;;;;;;;;;
Durvalumab;DURVALUMAB 2,4ML 50MG/ML SOLUZIONE USO PARENTERALE;IMFINZI*1 flaconcino EV 2,4 ml 50 mg/ml;1.042,36;631,58;-;ASTRAZENECA SpA;047089026;KRB;;;;;;;;;;;;;;;;;
Eculizumab;ECULIZUMAB 300MG 30ML 1 UNITA' USO PARENTERALE;SOLIRIS*1 flaconcino EV 300 mg 30 ml;6.851,69;4.151,50;-;ALEXION EUROPE Sas;038083010;AMG;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 600MG 30 UNITA' USO ORALE;EFAVIRENZ*30 cpr riv 600 mg;244,39;148,08;-;MYLAN SpA;041257015;AML;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 600MG 30 UNITA' USO ORALE;EFAVIRENZ*30 cpr riv 600 mg;264,76;160,42;-;SANDOZ SpA;041913031;AML;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 600MG 30 UNITA' USO ORALE;EFAVIRENZ*30 cpr riv 600 mg;264,76;160,42;-;TEVA B.V.;043172016;AML;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 600MG 30 UNITA' USO ORALE;EFAVIRENZ*30 cpr riv 600 mg;264,76;160,42;-;AUROBINDO PHARMA ITALIA Srl   ;043379015;AML;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 100MG 30 UNITA' USO ORALE;SUSTIVA*30 cps 100 mg flacone;63,14;38,26;-;BRISTOL M.SQUIBB PHARMA EEIG;034380028;AMH;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 50MG 30 UNITA' USO ORALE;SUSTIVA*30 cps 50 mg flacone;31,56;19,12;-;BRISTOL M.SQUIBB PHARMA EEIG;034380016;AMK;;;;;;;;;;;;;;;;;
Efavirenz;EFAVIRENZ 200MG 90 UNITA' USO ORALE;SUSTIVA*90 cps 200 mg flacone;378,80;229,52;-;BRISTOL M.SQUIBB PHARMA EEIG;034380030;AMI;;;;;;;;;;;;;;;;;
Efavirenz/emtricitabina/tenofovir disoproxil;EFAVIRENZ+EMTRICITABINA+TENOFOVIR DISOPROXIL 600+200+245MG 30 UNITA' USO ORALE;ATRIPLA*30 cpr riv 600 mg + 200 mg + 245 mg;990,10;599,91;-;GILEAD SCIENCES IRELAND UC;038307017;AMM;;;;;;;;;;;;;;;;;
Efavirenz/emtricitabina/tenofovir disoproxil;EFAVIRENZ+EMTRICITABINA+TENOFOVIR DISOPROXIL 600+200+245MG 30 UNITA' USO ORALE;EFAVIRENZ EMTRICITABINA TENOFOVIR DISOPROXIL*30 cpr riv 600 mg + 200 mg + 245 mg flacone;396,04;239,97;-;ZENTIVA K.S.;045495013;AMM;;;;;;;;;;;;;;;;;
Efavirenz/emtricitabina/tenofovir disoproxil;EFAVIRENZ+EMTRICITABINA+TENOFOVIR DISOPROXIL 600+200+245MG 30 UNITA' USO ORALE;EFAVIRENZ EMTRICITABINA TENOFOVIR DISOPROXIL*30 cpr riv 600 mg + 200 mg + 245 mg flacone;396,04;239,97;-;EG SpA;045507011;AMM;;;;;;;;;;;;;;;;;
Efavirenz/emtricitabina/tenofovir disoproxil;EFAVIRENZ+EMTRICITABINA+TENOFOVIR DISOPROXIL 600+200+245MG 30 UNITA' USO ORALE;EFAVIRENZ EMTRICITABINA TENOFOVIR DISOPROXIL*30 cpr riv 600 mg + 200 mg + 245 mg flacone;742,58;449,94;-;MYLAN Sas;045670015;AMM;;;;;;;;;;;;;;;;;
Efavirenz/emtricitabina/tenofovir disoproxil;EFAVIRENZ+EMTRICITABINA+TENOFOVIR DISOPROXIL 600+200+245MG 30 UNITA' USO ORALE;EFAVIRENZ EMTRICITABINA TENOFOVIR DISOPROXIL*30 cpr riv 600 mg + 200 mg + 245 mg flacone;396,04;239,97;-;KRKA D.D.NOVO MESTO;046104016;AMM;;;;;;;;;;;;;;;;;
Efavirenz/emtricitabina/tenofovir disoproxil;EFAVIRENZ+EMTRICITABINA+TENOFOVIR DISOPROXIL 600+200+245MG 30 UNITA' USO ORALE;EFAVIRENZ EMTRICITABINA TENOFOVIR DISOPROXIL*30 cpr riv flacone;742,58;449,94;-;TEVA ITALIA Srl;044645063;AMM;;;;;;;;;;;;;;;;;
Elosulfase Alfa;ELOSULFASE ALFA 5MG 5ML 1 UNITA' USO PARENTERALE;VIMIZIM*1 flaconcino EV 5 ml 1 mg/ml;1.325,65;803,23;-;BIOMARIN INTERNATIONAL LIMITED;043377011;JDM;;;;;;;;;;;;;;;;;
Elotuzumab;ELOTUZUMAB 300MG 1 UNITA' USO PARENTERALE;EMPLICITI*1 flacone EV 300 mg;1.852,37;1.122,38;-;BRISTOL M.SQUIBB PHARMA EEIG;044873014;JIE;;;;;;;;;;;;;;;;;
Elotuzumab;ELOTUZUMAB 400MG 1 UNITA' USO PARENTERALE;EMPLICITI*1 flacone EV 400 mg;2.469,82;1.496,50;-;BRISTOL M.SQUIBB PHARMA EEIG;044873026;JIF;;;;;;;;;;;;;;;;;
Eltrombopag;ELTROMBOPAG 25MG 28 UNITA' USO ORALE;REVOLADE*28 cpr riv 25 mg;1.885,38;1.142,38;-;NOVARTIS EUROPHARM LTD;039827023;AMO;;;;;;;;;;;;;;;;;
Eltrombopag;ELTROMBOPAG 50MG 28 UNITA' USO ORALE;REVOLADE*28 cpr riv 50 mg;3.770,75;2.284,75;-;NOVARTIS EUROPHARM LTD;039827050;AMP;;;;;;;;;;;;;;;;;
Eltrombopag;ELTROMBOPAG 25MG 30 UNITA' USO ORALE;REVOLADE*orale sosp 30 bust 25 mg;2.020,04;1.223,97;-;NOVARTIS EUROPHARM LTD;039827136;LCN;;;;;;;;;;;;;;;;;
Elvitegravir/Cobicistat/Emtricitabina/Tenofovir Alafenamide;ELVITEGRAVIR+COBICISTAT+EMTRICITABINA+TENOFOVIR ALAFENAMIDE 150+150+200+10MG 30 UNITA' USO ORALE;GENVOYA*30 cpr riv 150 mg + 150 mg + 200 mg + 10 mg flacone;1.578,11;956,20;-;GILEAD SCIENCES IRELAND UC;044559019;JVU;;;;;;;;;;;;;;;;;
Emina;EMINA 250MG 10ML 4 UNITA' USO PARENTERALE;NORMOSANG*4 fiale EV 250 mg 10 ml;3.576,26;2.166,90;-;RECORDATI RARE DISEASES SARL;034543013;AMQ;;;;;;;;;;;;;;;;;
Emtricitabina;EMTRICITABINA 200MG 30 UNITA' USO ORALE;EMTRIVA*30 cps 200 mg flacone;253,21;153,43;-;GILEAD SCIENCES IRELAND UC;036585026;AMS;;;;;;;;;;;;;;;;;
Emtricitabina;EMTRICITABINA 10MG/ML 170ML USO ORALE;EMTRIVA*orale soluz 170 ml 10 mg/ml;71,27;43,19;-;GILEAD SCIENCES IRELAND UC;036585014;AMR;;;;;;;;;;;;;;;;;
Emtricitabina/Rilpivirina/Tenofovir alafenamide;EMTRICITABINA+RILPIVIRINA+TENOFOVIR ALAFENAMIDE 200MG+25MG+25MG 30 UNITA' USO ORALE;ODEFSEY*30 cpr riv 200 mg + 25 mg + 25 mg flacone;1.085,03;657,44;-;GILEAD SCIENCES IRELAND UC;044930016;JYX;;;;;;;;;;;;;;;;;
Emtricitabina/rilpivirina/tenofovir disoproxil;EMTRICITABINA+RILPIVIRINA+TENOFOVIR DISOPROXIL 200MG+25MG+245MG 30 UNITA' USO ORALE;EVIPLERA*30 cpr riv 25 mg + 200 mg + 245 mg flacone;1.085,03;657,44;-;GILEAD SCIENCES IRELAND UC;041711019;AMT;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir alafenamide;EMTRICITABINA+TENOFOVIR ALAFENAMIDE 200+10MG 30 UNITA' USO ORALE;DESCOVY*30 cpr riv 200 mg + 10 mg;677,71;410,64;-;GILEAD SCIENCES IRELAND UC;044865018;JVX;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir alafenamide;EMTRICITABINA+TENOFOVIR ALAFENAMIDE 200+25MG 30 UNITA' USO ORALE;DESCOVY*30 cpr riv 200 mg + 25 mg;677,71;410,64;-;GILEAD SCIENCES IRELAND UC;044865032;JVZ;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA E TENOFOVIR DISOPROXIL*30 cpr riv 200 mg + 245 mg flacone;60,00;36,36;-;DOC GENERICI Srl;044113013;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA E TENOFOVIR DISOPROXIL*30 cpr riv 200 mg + 245 mg flacone;60,00;36,36;-;TEVA ITALIA Srl;044373076;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA E TENOFOVIR DISOPROXIL*30 cpr riv 200 mg + 245 mg flacone;60,00;36,36;-;EG SpA;044603013;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA E TENOFOVIR DISOPROXIL*30 cpr riv 200 mg + 245 mg flacone;60,00;36,36;-;MYLAN Sas;045229010;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA E TENOFOVIR DISOPROXIL*30 cpr riv 200 mg + 245 mg flacone;60,00;36,36;-;DR. REDDY'S Srl;045243019;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA E TENOFOVIR DISOPROXIL*30x1 cpr riv 200 mg + 245 mg dose unitaria;98,70;59,80;-;ACCORD HEALTHCARE SLU;044965061;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/Tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;EMTRICITABINA TENOFOVIR DISOPROXIL*30 cpr riv 200 mg + 245 mg;115,22;69,81;-;ZENTIVA K.S.;045179013;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/tenofovir disoproxil;EMTRICITABINA+TENOFOVIR DISOPROXIL 200+245MG 30 UNITA' USO ORALE;TRUVADA*30 cpr riv 200 mg + 245 mg;677,72;410,64;-;GILEAD SCIENCES IRELAND UC;036716013;AMU;;;;;;;;;;;;;;;;;
Emtricitabina/tenofovir disoproxil/elvitegravir/cobicistat;EMTRICITABINA+TENOFOVIR DISOPROXIL+ELVITEGRAVIR+COBICISTAT 200MG+245MG+150MG+150MG 30 UNITA' USO ORALE;STRIBILD*30 cpr riv 150 mg + 150 mg + 200 mg + 245 mg flacone;1.578,11;956,20;-;GILEAD SCIENCES IRELAND UC;042815011;GEX;;;;;;;;;;;;;;;;;
Encorafenib;ENCORAFENIB 50MG 28 UNITA' USO ORALE;BRAFTOVI*28 cps 50 mg;3.854,03;2.335,21;-;PIERRE FABRE MEDICAMENT;047198015;LAV;;;;;;;;;;;;;;;;;
Encorafenib;ENCORAFENIB 75MG 42 UNITA' USO ORALE;BRAFTOVI*42x1 cps 75 mg;3.854,03;2.335,21;-;PIERRE FABRE MEDICAMENT;047198027;LAW;;;;;;;;;;;;;;;;;
Enfuvirtide;ENFUVIRTIDE 90MG 1ML 60 UNITA' USO PARENTERALE;FUZEON*60 flaconi SC polv + 60 flaconi solv + 60 siringhe 1 ml;2.230,66;1.351,58;-;ROCHE REGISTRATION GMBH;035930015;AMW;;;;;;;;;;;;;;;;;
Enoxaparina sodica;ENOXAPARINA 30.000UI 1 UNITA' USO PARENTERALE;CLEXANE T*1 flaconcino EV 3 ml 30.000 UI axa;23,18;14,04;-;SANOFI Srl;029111073;AMX;;;;;;;;;;;;;;;;;
Enoximone;ENOXIMONE 100MG 20ML 5 UNITA' USO PARENTERALE;PERFAN*5 fiale EV 100 mg 20 ml;81,48;49,37;-;INCA-PHARM Srl;026958049;AMY;;;;;;;;;;;;;;;;;
Enzalutamide;ENZALUTAMIDE 40MG 112 UNITA' USO ORALE;XTANDI*112 cpr riv 40 mg;5.619,83;3.405,13; - ;ASTELLAS PHARMA EUROPE B.V.;042868024;IZZ;;;;;;;;;;;;;;;;;
Enzalutamide;ENZALUTAMIDE 40MG 112 UNITA' USO ORALE;XTANDI*112 cps molli 40 mg;5.619,83;3.405,13; - ;ASTELLAS PHARMA EUROPE B.V.;042868012;IZZ;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE;EPSOCLAR*10 fiale EV 25.000 UI 5 ml;53,62;32,49;-;PFIZER ITALIA Srl;030705026;AMZ;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE;EPSOCLAR*10 flaconi EV 25.000 UI/5 ml 5 ml;53,62;32,49;-;PFIZER ITALIA Srl;030705040;AMZ;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 250UI 10 UNITA' USO PARENTERALE;EPSODILAVE*10 fiale 250 UI 5 ml;6,55;2,98;-;PFIZER ITALIA Srl;034630018;ANF;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 300UI 10 UNITA' USO PARENTERALE;EPSODILAVE*10 fiale 300 UI 3 ml;6,55;2,98;-;PFIZER ITALIA Srl;034630020;ANG;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 500UI 10 UNITA' USO PARENTERALE;EPSODILAVE*10 fiale 500 UI 2 ml;6,55;2,98;-;PFIZER ITALIA Srl;034630032;ANH;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE;NORMOPARIN*10 fiale EV 25.000 UI 5 ml;53,62;32,49;-;LABORATORIOS FARMACEUT.ROVI SA;024928119;AMZ;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 1 UNITA' USO PARENTERALE;PHAREPA*1 flaconcino EV 25.000 UI 5 ml;7,00;4,25;-;PHARMATEX ITALIA Srl;034692018;78B;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE;PHAREPA*10 fiale EV 25.000 UI 5 ml;75,96;46,03;-;PHARMATEX ITALIA Srl;034692020;AMZ;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 5 UNITA' USO PARENTERALE;PHAREPA*5 flaconcini EV 25.000 UI 5 ml;37,97;23,01;-;PHARMATEX ITALIA Srl;034692044;ANE;;;;;;;;;;;;;;;;;
Eparina sodica;EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE;VERACER*10 fiale 25.000 UI 5 ml;75,93;46,01;-;MEDIC ITALIA Srl;033344021;AMZ;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;EPIRUBICINA*1 flaconcino 10 mg 5 ml 2 mg/ml;19,66;11,91;-;ACCORD HEALTHCARE SLU;039244013;ANJ;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE;EPIRUBICINA*1 flaconcino 100 ml 2 mg/ml;330,96;200,54;-;TEVA ITALIA Srl;039000056;ANL;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE;EPIRUBICINA*1 flaconcino 200 mg 100 ml 2mg/ml;330,96;200,54;-;ACCORD HEALTHCARE SLU;039244049;ANL;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;EPIRUBICINA*1 flaconcino 25 ml 2 mg/ml;81,18;49,19;-;TEVA ITALIA Srl;039000031;ANM;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;EPIRUBICINA*1 flaconcino 5 ml 2 mg/ml;19,66;11,91;-;TEVA ITALIA Srl;039000017;ANJ;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;EPIRUBICINA*1 flaconcino 50 mg 25 ml 2 mg/ml;81,18;49,19;-;ACCORD HEALTHCARE SLU;039244037;ANM;;;;;;;;;;;;;;;;;
Epirubicina;EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;FARMORUBICINA*1 fiala EV 10 mg + 1 fiala solv 5 ml;29,44;13,39;-;PFIZER ITALIA Srl;025197031;ANJ;;;;;;;;;;;;;;;;;
