Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CARITEX*1 flacone IM 1 g + 1 fiala solv 3,5 mg;4,96;PHARMACARE Srl;036154019;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFRAG*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;MAGIS FARMACEUTICI Srl;036101020;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTAGES*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;GESTIPHARM Srl;035921028;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE GIT*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;S.F. GROUP Srl;036516021;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;ACCORD HEALTHCARE SLU;039216027;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;ALMUS Srl;036065035;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;ARISTO PHARMA GMBH;036095014;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;AUROBINDO PHARMA ITALIA Srl;036138028;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;BIOPHARMA Srl;035814021;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;DOC GENERICI Srl;035800034;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;EG SpA;035869039;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;MYLAN SpA;035878038;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;PHARMACARE Srl;035881022;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;PIAM FARMACEUTICI SpA;036144018;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;RATIOPHARM GMBH;035802038;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;SANDOZ SpA;035902030;C0C;X;;
Ceftriaxone;CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 500 mg + 1 fiala solv 2 ml;3,61;DOC GENERICI Srl;035800010;C0B;X;;
Ceftriaxone;CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 500 mg + 1 fiala solv 2 ml;3,61;MYLAN SpA;035878026;C0B;X;;
Ceftriaxone;CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 fiala IM 500 mg + 1 fiala solv 2 ml;3,61;RATIOPHARM GMBH;035802026;C0B;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flaconcino IM 1 g + 1 fiala solv 3,5 ml;4,96;SUN PHARMACEUTICAL IND.EU.B.V.;035905013;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;ABC FARMACEUTICI SpA;035924048;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;LABORATORI ALTER Srl;036021032;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;PHARMACARE Srl;037334051;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;SANDOZ SpA;035868037;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;ZENTIVA ITALIA Srl;035887037;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone polv IM 1 g + 1 fiala solv 3,5 ml;4,96;PENSA PHARMA SpA;035964030;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;CLAXON*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;GENETIC SpA;036642066;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;DAVIXON*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;NEW RESEARCH Srl;035816040;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;DAYTRIX*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;C.T. LAB.FARMACEUTICO Srl;036093033;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;DIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;EURO-PHARMA Srl;036314021;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;EFTRY*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;FARTO Srl;036102010;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;ERAXITRON*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;I.B.N. SAVIO Srl;035801036;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;FIDATO*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;FIDIA FARMACEUTICI SpA;035867035;C0C;X;;
Ceftriaxone;CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE;FIDATO*1 fiala IM 500 mg + 1 fiala solv 2 ml;3,61;FIDIA FARMACEUTICI SpA;035867023;C0B;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;FRINEG*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;EPIFARMA Srl;035866033;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;KOCEFAN*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;NEOPHARMED GENTILI SpA;035965033;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;NILSON*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;DYMALIFE PHARMACEUTICAL Srl;035925027;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;PANATRIX*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;S.F. GROUP Srl;036015030;C0C;X;;
Ceftriaxone;CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE;PANTOXON*1 fiala IM 500 mg + 1 fiala solv 2 ml;3,61;AESCULAPIUS FARMACEUTICI Srl;035952011;C0B;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;PANTOXON*1 flacone polv IM 1 g + 1 fiala solv 3,5 ml;4,96;AESCULAPIUS FARMACEUTICI Srl;035952023;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;POKECEF*1 fiala IM 1 g + 1 fiala 3,5 ml;4,96;RO-FARM.di DE MAIO SALVATORE&C;036212037;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;RAGEX*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;AGIPS FARMACEUTICI Srl;035927033;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;ROCEFIN*1 flaconcino IM 1 g + 1 fiala solv 3,5 ml;6,94;ROCHE SpA;025202058;C0C;X;;
Ceftriaxone;CEFTRIAXONE 250MG 1 UNITA' USO PARENTERALE;ROCEFIN*1 flaconcino IM 250 mg + 1 fiala solv 2 ml;2,28;ROCHE SpA;025202019;C0A;;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;SETRIOX*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;S.F. GROUP Srl;035922032;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;SIRTAP*1 fiala IM 1 g + 1 fiala solv 3,5 ml;4,96;SO.SE.PHARM Srl;035815024;C0C;X;;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE;VALEXIME*1 flacone IM 1 g + 1 fiala solv 3,5 ml;4,96;LANOVA FARMACEUTICI Srl;035824010;C0C;X;;
Cefuroxima;CEFUROXIMA 250MG 12 UNITA' USO ORALE;CEFUROXIMA*12 cpr riv 250 mg;7,92;SANDOZ SpA;037732082;63C;X;;
Cefuroxima;CEFUROXIMA 250MG 12 UNITA' USO ORALE;CEFUROXIMA*12 cpr riv 250 mg                                                                                                                                                  ;5,60;MYLAN SpA;048025035;63C;X;;
Cefuroxima;CEFUROXIMA 500MG 6 UNITA' USO ORALE;CEFUROXIMA*6 cpr riv 500 mg;5,60;MYLAN SpA;048025062;63D;X;;
Cefuroxima;CEFUROXIMA 500MG 6 UNITA' USO ORALE;CEFUROXIMA*6 cpr riv 500 mg;6,16;EG SpA;026917031;63D;X;;
Cefuroxima;CEFUROXIMA 500MG 6 UNITA' USO ORALE;CEFUROXIMA*6 cpr riv 500 mg;6,16;SANDOZ SpA;037732308;63D;X;;
Cefuroxima;CEFUROXIMA 1.000MG 1 UNITA' USO PARENTERALE;CUROXIM*1 flacone IM 1 g + 1 fiala solv 4 ml;4,20;GLAXOSMITHKLINE SpA;023576046;63B;X;;
Cefuroxima;CEFUROXIMA 500MG 2ML 1 UNITA' USO PARENTERALE;CUROXIM*1 flacone IM 500 mg + 1 fiala solv 2 ml;2,32;GLAXOSMITHKLINE SpA;023576022;63H;;;
Cefuroxima;CEFUROXIMA 1.000MG 1 UNITA' USO PARENTERALE;ITOREX*1 fiala IM 1 g + 1 fiala solv 4 ml;3,07;TECNOPHARMA ITALIA Srl;024105013;63B;X;;
Cefuroxima;CEFUROXIMA 250MG 12 UNITA' USO ORALE;ORAXIM*12 cpr riv 250 mg;8,92;MALESCI SpA IST.FARMACOBIOL.;027002029;63C;X;;
Cefuroxima;CEFUROXIMA 500MG 6 UNITA' USO ORALE;ORAXIM*6 cpr riv 500 mg;7,16;MALESCI SpA IST.FARMACOBIOL.;027002031;63D;X;;
Cefuroxima;CEFUROXIMA 125MG/5ML 100ML USO ORALE;ORAXIM*orale sosp grat 100 ml 125 mg/5 ml;13,78;MALESCI SpA IST.FARMACOBIOL.;027002043;63E;;;
Cefuroxima;CEFUROXIMA 250MG/5ML 50ML USO ORALE;ORAXIM*orale sosp grat 50 ml 250 mg/5 ml;13,78;MALESCI SpA IST.FARMACOBIOL.;027002070;63F;;;
Cefuroxima;CEFUROXIMA 500MG 6 UNITA' USO ORALE;TILEXIM*6 cpr riv 500 mg;6,10;I.B.N. SAVIO Srl;027020039;63D;X;;
Cefuroxima;CEFUROXIMA 250MG 12 UNITA' USO ORALE;ZINNAT*12 cpr riv 250 mg;8,92;GLAXOSMITHKLINE SpA;026915025;63C;X;;
Cefuroxima;CEFUROXIMA 500MG 6 UNITA' USO ORALE;ZINNAT*6 cpr riv 500 mg;7,16;GLAXOSMITHKLINE SpA;026915037;63D;X;;
Cefuroxima;CEFUROXIMA 250MG/5ML 50ML USO ORALE;ZINNAT*orale sosp grat 50 ml 250 mg/5 ml;13,78;GLAXOSMITHKLINE SpA;026915076;63F;;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELARTROX*20 cps 200 mg;8,40;S.F. GROUP Srl;042559031;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELEBREX*20 cps 200 mg;10,40;PFIZER ITALIA Srl;034624460;J1A;X;;
Celecoxib;CELECOXIB 100MG 40 UNITA' USO ORALE;CELEBREX*40 cps 100 mg blister AL/PVC trasparente;10,40;PFIZER ITALIA Srl;034624066;J1B;;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;AUROBINDO PHARMA ITALIA Srl;044073017;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;DOC GENERICI Srl;041938174;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;EG SpA;042332181;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;LABORATORI ALTER Srl;043500014;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;MYLAN SpA;042533125;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;MYLAN SpA;042568105;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;PENSA PHARMA SpA;041939036;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;PFIZER ITALIA Srl;040788198;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;SANDOZ SpA;042328082;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;SUN PHARMACEUTICAL IND.EU.B.V.;042765065;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;TECNIMEDE SOC.TECNICO-MED.S.A.;041955028;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;TEVA ITALIA Srl;040512220;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;CELECOXIB*20 cps 200 mg;7,00;ZENTIVA ITALIA Srl;042258095;J1A;X;;
Celecoxib;CELECOXIB 200MG 20 UNITA' USO ORALE;COXIBEN*20 cps 200 mg;7,00;S.F. GROUP Srl;043133026;J1A;X;;
Celiprololo;CELIPROLOLO 200MG 28 UNITA' USO ORALE;CORDIAX*28 cpr riv 200 mg;9,98;S.F. GROUP Srl;025655010;J2A;;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;AXERAMIS*20 cpr riv 10 mg;5,68;DOMPE' FARMACEUTICI SpA;037639010;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;AXERAMIS*orale gtt 20 ml 10 mg/ml;7,37;DOMPE' FARMACEUTICI SpA;037639022;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CERCHIO*20 cpr div 10 mg;4,85;NEOPHARMED GENTILI SpA;037736016;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CERCHIO*orale gtt 20 ml 10 mg/ml flacone;6,49;NEOPHARMED GENTILI SpA;037736028;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETERIS*20 cpr riv 10 mg;3,60;SO.SE.PHARM Srl;037819024;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETERIS*orale gtt 20 ml 10 mg/ml flacone;5,90;SO.SE.PHARM Srl;037819036;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr div 10 mg;3,60;ABC FARMACEUTICI SpA;037911017;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr div 10 mg;3,60;PENSA PHARMA SpA;037827019;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr div 10 mg;3,60;SUN PHARMACEUTICAL IND.EU.B.V.;037653019;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;ACCORD HEALTHCARE SLU;037635012;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;DOC GENERICI Srl;037654011;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;EG SpA;037655014;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;GERMED PHARMA Srl;039111048;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;IPSO PHARMA Srl;037636014;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;LABORATORI ALTER Srl;036910014;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;MYLAN SpA;037713082;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;SANDOZ SpA;037629045;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;TEVA ITALIA Srl;042741049;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv 10 mg;3,60;ZENTIVA ITALIA Srl;037300047;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;CETIRIZINA*20 cpr riv div 10 mg;3,60;AUROBINDO PHARMA ITALIA Srl;043111018;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml;5,90;PENSA PHARMA SpA;037827021;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;ABC FARMACEUTICI SpA;037911029;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;ACCORD HEALTHCARE SLU;037635024;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;AUROBINDO PHARMA ITALIA Srl;038054021;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;DOC GENERICI Srl;037654023;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;EG SpA;037655026;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;MYLAN SpA;038619019;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;SUN PHARMACEUTICAL IND.EU.B.V.;037653021;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone;5,90;TEVA ITALIA Srl;037318021;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;FORMISTIN*20 cpr riv 10 mg;4,85;IST.LUSOFARMACO D'ITALIA SpA;027329010;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;FORMISTIN*orale gtt 20 ml 10 mg/ml flacone;6,49;IST.LUSOFARMACO D'ITALIA SpA;027329022;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;GENERIT*orale gtt 20 cont monod 1 ml 10 mg;5,90;GENETIC SpA;038628020;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;GENERIT*orale gtt 20 ml 10 mg/ml flacone;5,90;GENETIC SpA;038628018;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;LEVIORINIL*20 cpr riv 10 mg;4,85;AESCULAPIUS FARMACEUTICI Srl;037356019;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;PRIZITEC*20 cpr riv 10 mg;3,60;GENETIC SpA;037638018;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;PRIZITEC*orale gtt 20 ml 10 mg/ml flacone;5,90;GENETIC SpA;037638020;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;RAINGEN*orale gtt 20 cont monod 1 ml 10 mg;5,90;GENETIC SpA;038630024;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;RAINGEN*orale gtt 20 ml 10 mg/ml flacone;5,90;GENETIC SpA;038630012;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;RITECAM*orale gtt 20 ml 10 mg/ml flacone;5,90;GENETIC SpA;038629010;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;RITECAM*orale gtt 20 monod 1 ml 10 mg/ml;5,90;GENETIC SpA;038629022;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;SOTRIZOL*20 cpr riv 10 mg;3,60;DYMALIFE PHARMACEUTICAL Srl;037895024;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;SOTRIZOL*orale gtt 20 ml 10 mg/ml flacone;5,90;DYMALIFE PHARMACEUTICAL Srl;037895036;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;STAMIDIX*20 cpr div 10 mg;3,60;IDI FARMACEUTICI Srl;037339013;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;STAMIDIX*orale gtt 20 ml 10 mg/ml flacone;5,90;IDI FARMACEUTICI Srl;037339025;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;SUSPIRIA*20 cpr riv 10 mg;4,85;KONPHARMA Srl;038035022;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;SUSPIRIA*orale gtt 20 ml 10 mg/ml flacone;6,49;KONPHARMA Srl;038035034;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;TEZASTIN*20 cpr riv 10 mg;3,60;EPIFARMA Srl;037637016;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;TEZASTIN*orale gtt 20 ml 10 mg/ml flacone;5,90;EPIFARMA Srl;037637028;DFB;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,37;MEDIFARM Srl;041894027;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;BB FARMA Srl;038386025;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;FARMA 1000 Srl;038777025;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;FARMAROC Srl;043098019;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;FARMAVOX Srl;043015015;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;GEKOFAR Srl;043629017;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;GENERAL PHARMA SOLUTIONS SpA;043707025;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;GMM FARMA Srl;042955029;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;NEW PHARMASHOP Srl;043824010;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;PHARMACYVALUE Srl;042871018;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;PROGRAMMI SANIT.INTEGRATI Srl;039316031;DFA;X;;
Cetirizina;CETIRIZINA 10MG 20 UNITA' USO ORALE;ZIRTEC*20 cpr riv 10 mg;8,60;UCB PHARMA SpA;026894016;DFA;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;ZIRTEC*orale gtt 20 ml 10 mg/ml flacone;10,54;FARMA 1000 Srl;038777013;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;ZIRTEC*orale gtt 20 ml 10 mg/ml flacone;10,61;MEDIFARM Srl;041894015;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;ZIRTEC*orale gtt 20 ml 10 mg/ml flacone;10,89;GEKOFAR Srl;043629029;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;ZIRTEC*orale gtt 20 ml 10 mg/ml flacone;10,90;BB FARMA Srl;038386013;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;ZIRTEC*orale gtt 20 ml 10 mg/ml flacone;10,90;FARMED Srl;043476011;DFB;X;;
Cetirizina;CETIRIZINA 1% 20ML USO ORALE;ZIRTEC*orale gtt 20 ml 10 mg/ml flacone;10,90;FOUR PHARMA CRO Srl;044540019;DFB;X;;
